rotation number,time after start [s]
1,2.795842170715332
2,3.3188014030456543
3,3.715165376663208
4,4.0335869789123535
5,4.315816640853882
6,4.573467016220093
7,4.81074070930481
8,5.035318613052368
9,5.252193212509155
10,5.453143835067749
11,5.64820671081543
12,5.836095094680786
13,6.01866888999939
14,6.193528175354004
15,6.363642930984497
16,6.529904365539551
17,6.692612648010254
18,6.852590560913086
19,7.00961971282959
20,7.163697719573975
21,7.3167641162872314
22,7.464639186859131
23,7.612194776535034
24,7.758257150650024
25,7.9015793800354
26,8.044240713119507
27,8.18535852432251
28,8.326244354248047
29,8.466755628585815
30,8.60659384727478
31,8.746006727218628
32,8.883831262588501
33,9.021408081054688
34,9.158357381820679
35,9.294287919998169
36,9.42948055267334
37,9.564190864562988
38,9.699167251586914
39,9.832554817199707
40,9.96673059463501
41,10.101036071777344
42,10.2340989112854
43,10.367624759674072
44,10.500147581100464
45,10.63308835029602
46,10.764973402023315
47,10.897528886795044
48,11.02997636795044
49,11.16238021850586
50,11.294527292251587
51,11.424985647201538
52,11.557245016098022
53,11.686527729034424
54,11.816422462463379
55,11.945295810699463
56,12.07291555404663
57,12.20098614692688
58,12.32721996307373
59,12.453590631484985
60,12.578720569610596
61,12.70344352722168
62,12.827012777328491
63,12.950147151947021
64,13.072058916091919
65,13.193549394607544
66,13.315194606781006
67,13.434726238250732
68,13.554369449615479
69,13.674199104309082
70,13.795460939407349
71,13.920562982559204
72,14.05100417137146
73,14.187475681304932
74,14.330759286880493
75,14.481647491455078
76,14.640037298202515
77,14.80632996559143
78,14.98143982887268
79,15.166226387023926
80,15.362200498580933
81,15.570916414260864
82,15.794176816940308
83,16.034446954727173
84,16.29565739631653
85,16.582183361053467
86,16.89963984489441
